Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Jordan,JOR,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,119.4846891,117.8784361,126.6752649,125.0171105,119.1976749,120.963437,130.2438704,141.5005094,133.999188,137.5240373,126.7821192,119.5642223,117.9485453,123.4537564,125.1498686,126.4636343,123.5203734,120.5266492,118.6347063,121.0956179,118.2222339,113.6306731,..
Kazakhstan,KAZ,Population growth (annual %),SP.POP.GROW,-1.728416448,-0.955113482,-0.300201487,-0.170069526,0.004125545,0.336408914,0.694909484,0.888898043,1.057671309,1.143851233,1.872962096,1.982408057,1.413271477,1.431512449,1.408676887,1.439445356,1.472670873,1.461484685,1.42204614,1.360381269,1.314522985,1.28960849,..
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,15071640,14928374,14883626,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,..
Kazakhstan,KAZ,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.3,..,..
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.5,65.63,65.45,65.76,65.95,65.74,66.06,65.86,66.15,66.34,67.11,68.39,68.45,68.69,69.52,70.62,71.44,71.97,72.41,72.95,73.15,73.18,..
Kazakhstan,KAZ,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..,..,..,..,79.90554047,..,77.4591217,82.46131134,85.97785187,84.60334015,86.51290894,89.39427948,86.36058807,90.69400787,88.70845032,92.95329285,95.72962189,94.24053192,95.20702362,95.72116089,97.53900146,..,..
Kazakhstan,KAZ,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,87.04573,89.51106,91.5917,92.01804,92.58491,91.09722,89.95021,89.51797,90.61103,89.48954,89.45954,87.95573,86.31897,86.15113,86.52115,86.31191,87.3628,86.24057,87.58681,86.85584,..
Kazakhstan,KAZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,856.2039885,752.245117,1009.794843,1091.211123,1385.923067,1821.156788,2189.608701,2981.134109,4362.47493,5190.277946,4822.013699,5739.44489,7170.660891,7966.920225,9532.837558,8900.974664,8077.512146,5743.611802,6623.475176,6505.762547,6716.639434,..
Kazakhstan,KAZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.24,9.87,10.06,9.95,10.05,10.41,10.14,10.37,10.27,10.22,9.74,8.88,8.95,8.72,8.54,8,7.65,7.46,7.37,7.15,7.14,7.19,..
Kazakhstan,KAZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,99.51265717,..,..,..,..,..,..,..,..,..,99.73240662,99.78163147,..,..,..,..,..,..,..,99.78163147,..,..
Kazakhstan,KAZ,Gross domestic savings (current US$),NY.GDS.TOTL.CD,3529397642,2707616086,4762620310,6352007486,8325070851,10562871801,15039419267,22217966586,35720649793,45971082998,60582083671,47062370209,64855358149,91175780653,90566000168,94488304678,90399150184,63889595509,46434157996,61511430333,70984086720,70633073024,..
Kazakhstan,KAZ,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,99.85986551,101.7270545,92.10240495,98.2026758,93.49623768,91.44635705,91.45860939,92.0752679,89.80333847,91.68203319,82.10679027,88.6003102,81.5663759,75.66521058,81.68801441,84.63955125,84.96242785,93.25845589,94.00275318,89.47641044,85.67747849,87.87672029,..
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2.798516498,2.765553396,2.745984467,2.728033491,2.712391179,2.709600176,2.720796213,2.739229463,2.757906955,2.768559996,2.767253963,2.750846669,2.722585637,2.693732572,2.66270486,2.618524437,2.55944065,2.491936871,2.421143197,2.356812573,2.305948675,2.27190164,..
Kenya,KEN,"Population, total",SP.POP.TOTL,30250488,31098757,31964557,32848564,33751739,34678779,35635271,36624895,37649033,38705932,39791981,40901792,42030676,43178257,44343410,45519889,46699981,47878336,49051686,50221473,51393010,52573973,..
Kenya,KEN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,46.8,..,..,..,..,..,..,..,..,..,36.1,..,..,..,..,..
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.448,51.059,50.921,51.101,51.606,52.41,53.475,54.732,56.093,57.463,58.76,59.932,60.959,61.851,62.659,63.419,64.135,64.798,65.393,65.909,66.342,66.699,..
Kenya,KEN,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,97.26039886,92.87848663,100,100,97.61831665,..,..,..,..,..
Kenya,KEN,"School enrollment, primary (% net)",SE.PRM.NENR,..,60.99233,63.70743,64.82191,59.55194,70.65569,68.99043,69.58856,68.69264,78.52198,74.7547,75.94578,..,..,79.96782,..,..,..,..,..,..,..,..
